,two_GRU_two_Linear,two_LSTM_one_CNN_two_Linear,two_LSTM_two_Linear,two_LSTM_one_Linear,two_LSTM_three_Linear,two_GRU_three_LSTM,USA
1999-26,0.023467373,0.02276846,0.02677821,0.031988017,0.025839226,0.029143848,0.0
1999-27,0.023471992,0.022792328,0.02692638,0.03203664,0.026050612,0.029241845,0.0
1999-28,0.023566306,0.023055812,0.027062189,0.031963,0.026103338,0.029410198,0.0
1999-29,0.023710433,0.02328673,0.027178682,0.03220237,0.026141519,0.029603995,0.0
1999-30,0.02386114,0.02346854,0.02725153,0.032342166,0.026109431,0.02976764,0.0
1999-31,0.023894465,0.023554198,0.027260512,0.032576382,0.02608324,0.029985167,0.0
1999-32,0.023912009,0.023539536,0.027261384,0.032599673,0.02607781,0.029935665,0.0
1999-33,0.023876982,0.02358301,0.027247053,0.03253375,0.026067967,0.02995158,0.0
1999-34,0.023867816,0.023623265,0.027258072,0.032474965,0.026063563,0.029910766,0.0
1999-35,0.023925709,0.023794144,0.027258515,0.032453388,0.026040757,0.029948033,0.0
1999-36,0.023958338,0.023817891,0.027309656,0.032356925,0.026053656,0.029922992,0.0
1999-37,0.024159689,0.024126163,0.027296744,0.03250333,0.026167262,0.030014612,0.0
1999-38,0.024427239,0.024808692,0.02741573,0.032456398,0.026329348,0.030231759,0.0
1999-39,0.025111737,0.025985299,0.027511206,0.03272275,0.026798394,0.03074184,0.0
1999-40,0.026088767,0.027215518,0.027966991,0.03289471,0.027079515,0.030986108,0.0
1999-41,0.026652167,0.027115459,0.028062403,0.034351505,0.02771305,0.03148201,0.0
1999-42,0.028150648,0.028148722,0.028428137,0.036883764,0.028268963,0.032038108,0.0
1999-43,0.027949432,0.02897846,0.028767753,0.040345937,0.028794726,0.032382667,0.0
1999-44,0.029232508,0.03041819,0.02910122,0.04353778,0.029833581,0.033425152,0.0
1999-45,0.028498149,0.033306204,0.029607598,0.044412054,0.03128443,0.034217663,0.0
1999-46,0.025205933,0.031357497,0.029141452,0.042339303,0.03033046,0.03386408,0.0
1999-47,0.023669261,0.0314018,0.028396493,0.043167002,0.030984292,0.034612715,0.0
