starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_23-24.pth
Train loss: 1.9721754010650958 Val loss: 0.23189964233983254 Time: 1.177800700000006
Train loss: 1.9264202484916524 Val loss: 0.2262213972802958 Time: 1.402615300000008
Train loss: 2.0175169927273027 Val loss: 0.23683663985216755 Time: 1.047617300000013
Train loss: 2.034873200951651 Val loss: 0.23308143144968876 Time: 1.4045260000000042
Train loss: 1.9356682567046217 Val loss: 0.21368181740937936 Time: 1.1203416000000175
Train loss: 1.8574681865997191 Val loss: 0.22963574531012582 Time: 1.3692124000000092
Train loss: 2.0082308360046426 Val loss: 0.24760933874853572 Time: 1.0392513999999835
Train loss: 1.8972698126817278 Val loss: 0.2356928541711691 Time: 1.3197626000000184
Train loss: 1.7926411347450113 Val loss: 0.22249554816043288 Time: 1.2730443000000093
Train loss: 1.717324896188207 Val loss: 0.21563199383346093 Time: 1.3742812999999785
Train loss: 1.8567193763933716 Val loss: 0.22734406290657544 Time: 1.201514000000003
Train loss: 1.7256340726451862 Val loss: 0.21084359803095754 Time: 1.282679399999978
Train loss: 1.8533692268352553 Val loss: 0.2129116900984163 Time: 1.26907300000002
Train loss: 1.881814166055026 Val loss: 0.24434027900323907 Time: 1.1849395999999786
Train loss: 1.7334206179221567 Val loss: 0.21620486044249662 Time: 1.432964300000009
Train loss: 1.8010798903095442 Val loss: 0.21546526429267077 Time: 1.304392000000007
Train loss: 1.6708702754640061 Val loss: 0.20765263414927124 Time: 1.3856908000000203
Train loss: 1.6814710850533459 Val loss: 0.2306803414402104 Time: 1.2788577999999973
Train loss: 1.8096541045304608 Val loss: 0.23099177080192757 Time: 1.2968659000000002
Train loss: 1.6631959916845194 Val loss: 0.2329579797415851 Time: 1.1190892999999846
Train loss: 1.6554436013729799 Val loss: 0.21768653801860935 Time: 1.3196366999999896
Train loss: 1.5853360641827123 Val loss: 0.20748012693795925 Time: 1.318318099999999
Train loss: 1.671173412221009 Val loss: 0.22094453753495552 Time: 1.2776489000000026
Train loss: 1.5904171137353815 Val loss: 0.20796575604017598 Time: 1.5713734999999929
Train loss: 1.5966879605303959 Val loss: 0.19305137370311545 Time: 0.9400129000000277
Train loss: 1.7529891613364734 Val loss: 0.22186493699482146 Time: 0.8965268000000037
Train loss: 1.483860241875301 Val loss: 0.18553005962620356 Time: 0.8750157000000058
Train loss: 1.6412687662688317 Val loss: 0.19319837316590127 Time: 1.2275450999999862
Train loss: 1.5269414732538547 Val loss: 0.19980286493838198 Time: 1.434675900000002
Train loss: 1.485327234492968 Val loss: 0.195656208268632 Time: 1.4634014000000093
Train loss: 1.6016183677082978 Val loss: 0.2073876884247885 Time: 1.3172297000000128
Train loss: 1.4848176798574357 Val loss: 0.18277449777433905 Time: 1.3714233000000036
Train loss: 1.6931612345165643 Val loss: 0.22857992633504573 Time: 1.0883474999999976
Train loss: 1.4064581469105173 Val loss: 0.2094830874760428 Time: 1.417610400000001
Train loss: 1.4491497964766324 Val loss: 0.18589505840373938 Time: 1.1132801999999913
Train loss: 1.3670333608211251 Val loss: 0.1670453827184023 Time: 1.6313109000000168
Train loss: 1.3215795255900105 Val loss: 0.17053616188397921 Time: 0.9284325999999794
Train loss: 1.4484514832342477 Val loss: 0.18197628239038563 Time: 1.179447099999976
Train loss: 1.3372546709306015 Val loss: 0.1798359892805699 Time: 1.3261810000000196
Train loss: 1.3842978039783098 Val loss: 0.1974424383672288 Time: 1.3790694999999857
Train loss: 1.4971491507954298 Val loss: 0.20385007293665564 Time: 1.1136967999999854
Train loss: 1.3507035829238925 Val loss: 0.18560603793051206 Time: 1.3728664000000208
Train loss: 1.3866318881486106 Val loss: 0.18469047925577553 Time: 1.2039708000000076
Train loss: 1.3115872714568262 Val loss: 0.1596740840973782 Time: 1.4492970000000014
Train loss: 1.651613945598129 Val loss: 0.19190917779670452 Time: 1.0576167000000112
Train loss: 1.4472698649244364 Val loss: 0.1780016770717891 Time: 1.5883805999999936
Train loss: 1.3051598658622368 Val loss: 0.18589843104413223 Time: 1.2940974999999924
Train loss: 1.3124166882038324 Val loss: 0.20219114089642135 Time: 1.7364086000000043
Train loss: 1.3886165535214303 Val loss: 0.1679869514062782 Time: 1.1089865000000145
Train loss: 1.2727482482414416 Val loss: 0.19522869960121678 Time: 1.5050293999999838
Train loss: 1.1553305367238806 Val loss: 0.1728699142350964 Time: 1.0584090999999773
Train loss: 1.241437107706384 Val loss: 0.1649143595400198 Time: 1.2589484000000084
Train loss: 1.246910111146768 Val loss: 0.1804573823102362 Time: 1.3728724000000057
Train loss: 1.2557424170264824 Val loss: 0.16784524738098994 Time: 1.1383660999999847
Train loss: 1.3729363460457193 Val loss: 0.19539543130043358 Time: 1.4849820999999963
Train loss: 1.2828568785531331 Val loss: 0.20013041996982328 Time: 1.180878799999988
Train loss: 1.3509128713906549 Val loss: 0.20086987924599833 Time: 1.3097471999999755
Train loss: 1.1536835971232335 Val loss: 0.1713532281321755 Time: 1.4036432000000048
Train loss: 1.310319801744786 Val loss: 0.1801640208189862 Time: 1.5217188999999962
Train loss: 1.251568161548306 Val loss: 0.177059635060888 Time: 1.4395707999999843
Train loss: 1.1902405298181051 Val loss: 0.17994562206543158 Time: 1.4047970999999961
Train loss: 1.2402644947597565 Val loss: 0.1371690223352027 Time: 1.0226888999999915
Train loss: 1.2036854328904951 Val loss: 0.1736683031288772 Time: 1.2913297999999998
Train loss: 1.1192904177680134 Val loss: 0.17747197307688695 Time: 1.2964984999999842
Train loss: 1.1967034348829344 Val loss: 0.15864970153250932 Time: 1.6267146999999795
Train loss: 1.3324872100452012 Val loss: 0.15832345994423527 Time: 1.2734623999999997
Train loss: 1.0646590976936139 Val loss: 0.1706325519391349 Time: 1.4598503999999934
Train loss: 1.223035940151604 Val loss: 0.16462983182538707 Time: 0.9876384000000087
Train loss: 1.323810020357854 Val loss: 0.2188159045101655 Time: 1.6109793999999908
Train loss: 1.135716267472369 Val loss: 0.18361213040485114 Time: 1.4036227999999937
Train loss: 1.2594965867848487 Val loss: 0.1875010331208544 Time: 1.1562365000000057
Train loss: 1.1298285554164602 Val loss: 0.1695354829782582 Time: 1.3073505999999782
Train loss: 1.0903988728706562 Val loss: 0.13423090667152465 Time: 1.0279879999999935
Train loss: 1.1106695401662643 Val loss: 0.1666709864371198 Time: 1.2390548000000194
Train loss: 1.1556452068200633 Val loss: 0.16897227523671085 Time: 1.0487578999999982
Train loss: 1.1732679151000696 Val loss: 0.15499718301875595 Time: 1.3893963999999812
Shrinking learning rate to 1e-05
Train loss: 1.0405203421399847 Val loss: 0.15580010361724173 Time: 1.3373531000000014
Train loss: 1.127025965951706 Val loss: 0.16357017187179126 Time: 1.3423355999999842
Train loss: 1.0743874895197507 Val loss: 0.1576477312749332 Time: 1.156879800000013
Train loss: 1.026372013266041 Val loss: 0.15561159441899516 Time: 1.4887977000000205
Train loss: 0.9660234969560406 Val loss: 0.15604446895405566 Time: 1.2024329000000193
Train loss: 1.0622579360660325 Val loss: 0.156642683054677 Time: 1.223318799999987
Train loss: 1.1264385032109203 Val loss: 0.15982643485762615 Time: 1.4391257000000053
