starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_23-24.pth
Train loss: 1.7012200657486929 Val loss: 0.026853859424591064 Time: 1.874735899999905
Train loss: 1.4192072097902582 Val loss: 0.0022185444831848145 Time: 1.8813387000000148
Train loss: 1.526006925341414 Val loss: 0.027476489543914795 Time: 1.9731474000000162
Train loss: 1.3952844853516027 Val loss: 0.01760554313659668 Time: 2.203048200000012
Train loss: 1.4437304393547201 Val loss: 0.01344519853591919 Time: 1.9394863999996232
Train loss: 1.540123287512138 Val loss: 0.06469076871871948 Time: 2.186049599999933
Train loss: 1.483216892167892 Val loss: 0.05884319543838501 Time: 1.9161549000000377
Train loss: 1.5159980340845323 Val loss: 0.014751136302947998 Time: 1.863569400000415
Train loss: 1.4634043452609973 Val loss: 0.03491628170013428 Time: 2.0311744000000544
Train loss: 1.638346155936036 Val loss: 0.0093536376953125 Time: 1.9986081999995804
Train loss: 1.3944326562451579 Val loss: 0.04276251792907715 Time: 1.8632771999991746
Train loss: 1.5155224717338545 Val loss: 0.02500450611114502 Time: 1.8476771999994526
Train loss: 1.2826833099395998 Val loss: 0.020285308361053467 Time: 2.091620199999852
Train loss: 1.3709556735229853 Val loss: 0.026666998863220215 Time: 2.1492152000000715
Train loss: 1.4024216886824803 Val loss: 0.00945580005645752 Time: 1.827303000000029
Train loss: 1.47626202726536 Val loss: 0.017401814460754395 Time: 1.7899606000000858
Train loss: 1.1307286840002746 Val loss: 0.05082947015762329 Time: 1.7086352000005718
Train loss: 1.204965158099501 Val loss: 0.04050654172897339 Time: 1.9853751000000557
Train loss: 1.4598380441072898 Val loss: 0.050839900970458984 Time: 1.9746447999996235
Train loss: 1.2991456809261237 Val loss: 0.012252330780029297 Time: 2.208310099999835
Train loss: 1.288225126073585 Val loss: 0.06217926740646362 Time: 1.9403628999998546
Train loss: 1.3562427543312823 Val loss: 0.041798174381256104 Time: 1.935082500000135
Train loss: 1.3385774742613705 Val loss: 0.05386817455291748 Time: 2.0893659000003026
Train loss: 1.1216688383632913 Val loss: 0.019238829612731934 Time: 1.9084419000000707
Train loss: 1.2271549853980162 Val loss: 0.02865779399871826 Time: 1.8719275000003108
Train loss: 1.1681145603644154 Val loss: 0.020083308219909668 Time: 1.9542385000004288
Train loss: 1.153202371892462 Val loss: 0.06948089599609375 Time: 1.8923861000002944
Train loss: 1.3149478757691782 Val loss: 0.027451694011688232 Time: 1.6764855000001262
Train loss: 1.1765159945608303 Val loss: 0.03652608394622803 Time: 2.1516655999994327
Train loss: 1.0031125882560126 Val loss: 0.02272576093673706 Time: 1.6104626000005737
Train loss: 1.0813754618110991 Val loss: 0.03867900371551514 Time: 1.7559935999997833
Train loss: 1.1857012106228524 Val loss: 0.010257244110107422 Time: 1.7356048000001465
Train loss: 1.081050205723507 Val loss: 0.0703197717666626 Time: 1.8677184999996825
Train loss: 1.1179303448086415 Val loss: 0.025367379188537598 Time: 1.942613899999742
Train loss: 0.9495103420772324 Val loss: 0.06129974126815796 Time: 1.8464781000002404
Train loss: 1.1115867440039757 Val loss: 0.021228790283203125 Time: 1.8704915999996956
Train loss: 1.0931208168666728 Val loss: 0.031511664390563965 Time: 1.902785799999947
Train loss: 0.9791773822609002 Val loss: 0.05980253219604492 Time: 1.8472854000001462
Train loss: 1.0922636358093314 Val loss: 0.08065915107727051 Time: 1.9231161999996402
Train loss: 1.1567066683133618 Val loss: 0.029631435871124268 Time: 1.8705898999996862
Train loss: 0.9239648846227908 Val loss: 0.04289746284484863 Time: 1.7916543000001184
Train loss: 0.8614069131577589 Val loss: 0.02777683734893799 Time: 1.9745444999998654
Train loss: 1.1022434675592194 Val loss: 0.013113617897033691 Time: 2.550105799999983
Train loss: 1.0062112140373607 Val loss: 0.08824384212493896 Time: 2.250782799999797
Train loss: 0.8950324642027647 Val loss: 0.05448359251022339 Time: 2.1818960999999035
Train loss: 0.9226713085742144 Val loss: 0.06456100940704346 Time: 1.9538026000000173
Train loss: 1.0707274436373382 Val loss: 0.0035058259963989258 Time: 2.16850980000072
Train loss: 1.0424396856860199 Val loss: 0.08633536100387573 Time: 2.0566768999997294
Train loss: 0.8940840728361152 Val loss: 0.06709086894989014 Time: 1.9906409000004714
Train loss: 0.9293116997330948 Val loss: 0.08365023136138916 Time: 1.9387401999993017
Train loss: 0.8779812279432471 Val loss: 0.08192932605743408 Time: 1.77821589999985
Shrinking learning rate to 1e-05
Train loss: 0.9430723646675752 Val loss: 0.026796400547027588 Time: 1.8589050000000498
Train loss: 1.0348088472601518 Val loss: 0.03402507305145264 Time: 1.9653217999994013
Train loss: 0.9226730278900706 Val loss: 0.03237557411193848 Time: 1.9482915999997203
Train loss: 0.9143116941481688 Val loss: 0.041047096252441406 Time: 1.685409300000174
Train loss: 0.8134492204616777 Val loss: 0.04412674903869629 Time: 1.9343608999997741
Train loss: 0.8292069503921198 Val loss: 0.04030561447143555 Time: 1.62745410000025
