starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_23-24.pth
Train loss: 3.928660663072443 Val loss: 0.20450115203857422 Time: 1.8028352999999697
Train loss: 4.129889297926212 Val loss: 0.2042749524116516 Time: 1.3895509000003585
Train loss: 3.8526018774381505 Val loss: 0.1788545846939087 Time: 1.7325691999994888
Train loss: 3.8692676602534757 Val loss: 0.1930636763572693 Time: 1.7068386999999348
Train loss: 3.7461083953764387 Val loss: 0.18596184253692627 Time: 1.7075796999997692
Train loss: 3.736512064406188 Val loss: 0.18245893716812134 Time: 1.691978000000745
Train loss: 3.7068777390024854 Val loss: 0.1888025999069214 Time: 1.697291700000278
Train loss: 3.715257195858343 Val loss: 0.19278031587600708 Time: 1.5624756000006528
Train loss: 3.6424879433697868 Val loss: 0.19917196035385132 Time: 1.6773994000004677
Train loss: 3.7337423290091074 Val loss: 0.186883807182312 Time: 1.5282383000003392
