starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_2lin_B_23-24.pth
Train loss: 2.07221304598015 Val loss: 0.2565117326104857 Time: 2.047408300015377
Train loss: 1.6613523474609013 Val loss: 0.2314971813368202 Time: 3.5491709999914747
Train loss: 1.6583395090010282 Val loss: 0.22554667435023235 Time: 2.911296100006439
Train loss: 1.733318852671431 Val loss: 0.2346818399363702 Time: 1.8333448999910615
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.8866417019968598 Val loss: 0.2529133316083529 Time: 3.3501094999955967
Train loss: 1.815929768851225 Val loss: 0.24658129091087377 Time: 3.071295800007647
Train loss: 1.7501570066097092 Val loss: 0.2398842573690753 Time: 2.464691400004085
Train loss: 1.7962511242566084 Val loss: 0.24254595904354798 Time: 1.9532462999923155
Train loss: 1.8124031507330969 Val loss: 0.24161033929773604 Time: 2.1052094000042416
Train loss: 1.7916129712812507 Val loss: 0.2396730037659369 Time: 2.186519999988377
Train loss: 1.7402925387867356 Val loss: 0.23601376924261086 Time: 2.660827200015774
Train loss: 1.6383427981221086 Val loss: 0.22848129511920579 Time: 2.3659475999884307
Train loss: 1.7528937978468773 Val loss: 0.23574075722138285 Time: 2.1073124000104144
Train loss: 1.6839656633653135 Val loss: 0.23105906505288232 Time: 2.896479899995029
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 599.0642222999886
