starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_22-23.pth
Train loss: 1.4158629515288226 Val loss: 1.0106131692882627 Time: 1.0540760000003502
Train loss: 1.424259953635186 Val loss: 1.2522349752280206 Time: 0.9996080999990227
Train loss: 1.3080481787774048 Val loss: 1.155498499645546 Time: 1.0899677999987034
Train loss: 1.521307699615619 Val loss: 0.8138225377997941 Time: 1.0367743000097107
Train loss: 1.2008645095946147 Val loss: 1.1997507834582848 Time: 1.0376428000017768
Train loss: 1.263087774485804 Val loss: 1.10056194918252 Time: 1.0231246999901487
Train loss: 1.1027402853368358 Val loss: 1.157877238590899 Time: 1.055430400010664
Train loss: 1.2051310185773236 Val loss: 0.8173447448498337 Time: 1.0139519000076689
Train loss: 1.3084089115367743 Val loss: 0.9285284171928652 Time: 1.0813438999903155
Train loss: 1.0874244928625751 Val loss: 1.130984365043119 Time: 1.0572147000057157
Train loss: 1.1420531139946988 Val loss: 0.9692187984910561 Time: 1.0818275999918114
Train loss: 1.0574147958883273 Val loss: 0.8431161802500355 Time: 1.067448500005412
Train loss: 1.1033134030299188 Val loss: 1.1960380950877152 Time: 1.1049054000031902
Train loss: 1.1473599086058224 Val loss: 0.897311880151392 Time: 1.0598399000009522
Train loss: 0.9499470963951921 Val loss: 0.9085303763713455 Time: 1.0241871000034735
Train loss: 1.2512162297044824 Val loss: 0.9532174447455191 Time: 1.1008762999990722
Train loss: 0.9850709306858407 Val loss: 1.0523507265620253 Time: 1.1246347999986028
Train loss: 1.0252337204314328 Val loss: 0.9504375765900477 Time: 1.1375760000082664
Train loss: 0.9458785795652318 Val loss: 0.9767918161342095 Time: 1.1461298999929568
Train loss: 0.9941605531451074 Val loss: 0.8375202529568924 Time: 1.2352603000035742
Train loss: 1.1113952964729101 Val loss: 0.9997312405757839 Time: 1.099652499993681
Train loss: 1.0841620694017289 Val loss: 0.7419552484643646 Time: 1.1362917999940692
Train loss: 0.988202638919198 Val loss: 0.7255906412319746 Time: 1.0931352999905357
Train loss: 0.965273346781176 Val loss: 0.9058019731401146 Time: 1.1789027000049828
Train loss: 0.8996815634612985 Val loss: 0.6404548184946179 Time: 1.2491872000100557
Train loss: 0.9670434821162994 Val loss: 1.1507779626595038 Time: 1.17099369999778
Train loss: 0.685884948939389 Val loss: 0.7883719010669665 Time: 1.1261444999981904
Train loss: 0.8506738949444781 Val loss: 0.6881139805773273 Time: 1.123304900000221
Train loss: 0.9401163559028136 Val loss: 0.6934912188444287 Time: 1.116989599991939
