starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_cnn_drop_22-23.pth
Train loss: 0.33591112772485726 Val loss: 1.7545349764695857 Time: 0.794761600001948
Train loss: 0.3645547853168303 Val loss: 1.7629712560737971 Time: 0.7975794999947539
Train loss: 0.34724848912945194 Val loss: 1.7814771211706102 Time: 0.790316200000234
Train loss: 0.3420183173422165 Val loss: 1.7894322899519466 Time: 0.7923117999889655
Train loss: 0.29774571978085607 Val loss: 1.8017170084931422 Time: 0.7917643999971915
Train loss: 0.3382837196558288 Val loss: 1.808234816417098 Time: 0.8305669999972451
Train loss: 0.3418233412966173 Val loss: 1.7939009490655735 Time: 0.785333100007847
Train loss: 0.2996292141533472 Val loss: 1.7952393108280376 Time: 0.8047752999991644
Train loss: 0.40979735391540506 Val loss: 1.8146278535423335 Time: 0.7974654999998165
Train loss: 0.36223543825827553 Val loss: 1.817773253802443 Time: 0.7592578000039794
Train loss: 0.3725789620658446 Val loss: 1.7971081784344278 Time: 0.7988594000053126
Train loss: 0.3041830627971341 Val loss: 1.8193674045614898 Time: 0.791260300000431
Train loss: 0.35214076993959864 Val loss: 1.8174937941948883 Time: 0.7783809000102337
Train loss: 0.39513701253227773 Val loss: 1.8073392019432504 Time: 0.7790682000049856
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.3400506016674081 Val loss: 1.8059031615557615 Time: 0.8171386000030907
Train loss: 0.33375965945785535 Val loss: 1.8054383652633987 Time: 0.7836851000029128
Train loss: 0.35461254923360763 Val loss: 1.806271139299497 Time: 0.7991322000016226
Train loss: 0.3353458530472029 Val loss: 1.8066186128708068 Time: 0.7742991999984952
Train loss: 0.3844647002500228 Val loss: 1.8053387275431305 Time: 0.7840844000020297
Train loss: 0.3093524580160585 Val loss: 1.8051787247823086 Time: 0.7608536999905482
Train loss: 0.36335058042992624 Val loss: 1.8044098021346144 Time: 0.7613283999962732
Train loss: 0.34686309699407225 Val loss: 1.8027238374052104 Time: 0.7693994000001112
Train loss: 0.3745379114016132 Val loss: 1.8042892697267234 Time: 0.7740685999888228
Train loss: 0.38295987431391354 Val loss: 1.807947195135057 Time: 0.7893454000004567
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 111.30178409999644
