starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\rnn_drop_22-23.pth
Train loss: 2.231020037387112 Val loss: 1.2198236358999566 Time: 0.7156397999933688
Train loss: 2.2431054349834625 Val loss: 1.0024386640870944 Time: 0.6946858999872347
Train loss: 2.279956769289317 Val loss: 1.0480406971182674 Time: 0.6934215000073891
Train loss: 2.195444176797454 Val loss: 1.0667353036114946 Time: 0.7033167999907164
Train loss: 2.124313511923309 Val loss: 1.12782734882785 Time: 0.7094461999949999
Train loss: 2.001714138444924 Val loss: 1.0143213781993836 Time: 0.713625399992452
Train loss: 1.7524468015424617 Val loss: 1.1521419566051918 Time: 0.7167260999995051
Train loss: 1.8472740724292658 Val loss: 1.2242624462669482 Time: 0.7000437999959104
Train loss: 1.905460253434868 Val loss: 1.062151150777936 Time: 0.7155436000030022
Train loss: 1.972188867590603 Val loss: 1.0824099127785303 Time: 0.7123785000003409
Train loss: 1.714566937629927 Val loss: 1.3747171858026377 Time: 0.7003783000109252
Train loss: 1.6544771307622899 Val loss: 1.283075914307119 Time: 0.6985080000013113
Train loss: 1.8288394392914427 Val loss: 1.1485984483442735 Time: 0.7234595999907469
Train loss: 1.597465739633428 Val loss: 0.9109371193917468 Time: 0.7007114000007277
Train loss: 1.5208917732732736 Val loss: 1.626322234980762 Time: 0.7329682999989018
Train loss: 1.5332604457149004 Val loss: 1.0037922912142676 Time: 0.7412273999943864
Train loss: 1.6022695949476713 Val loss: 1.0627267358959216 Time: 0.8259298000048148
Train loss: 1.5356506090915119 Val loss: 1.3244209008234975 Time: 0.7097648999915691
Train loss: 1.4772893070768305 Val loss: 1.7003266211831942 Time: 0.721406399999978
Train loss: 1.5418739520364664 Val loss: 1.1406751627183525 Time: 0.7088428999995813
Train loss: 1.6065387830719402 Val loss: 1.405069643558818 Time: 0.709460099998978
Train loss: 1.57097691214148 Val loss: 1.146604184210446 Time: 0.7076474999921629
Train loss: 1.3500829318116754 Val loss: 1.0830751603352837 Time: 0.7206793000077596
Train loss: 1.3589745123265544 Val loss: 1.0931110737728886 Time: 0.7009707999968668
Train loss: 1.4577059972932318 Val loss: 0.934644555536579 Time: 0.7820049000001745
Train loss: 1.3691725923001208 Val loss: 0.9166848236206988 Time: 0.7241694999975152
Train loss: 1.3529473903392164 Val loss: 0.95693722750093 Time: 0.7031254999892553
Train loss: 1.3044019975069419 Val loss: 0.9909125147969462 Time: 0.7299342000042088
Train loss: 1.1619685726301867 Val loss: 0.9123364405968459 Time: 0.7014322000031825
Train loss: 1.2926318271731958 Val loss: 0.8519864261033945 Time: 0.691712900006678
Train loss: 1.1705480280182883 Val loss: 1.0294138078024844 Time: 0.6947301999898627
Train loss: 1.2477713617358575 Val loss: 0.9245827964186901 Time: 0.7225314000097569
Train loss: 1.0875871804373345 Val loss: 0.8532131999891135 Time: 0.713672999991104
Train loss: 1.2270455768470185 Val loss: 1.025623323210116 Time: 0.7021576999977697
Train loss: 1.2135488932653309 Val loss: 1.368628930511477 Time: 0.7157873999967705
Train loss: 1.1944519418002744 Val loss: 1.1298640890308889 Time: 0.711234999995213
Train loss: 1.0481291046135803 Val loss: 1.226610049372539 Time: 0.718716300005326
Train loss: 1.0249017418817843 Val loss: 0.7257670896360651 Time: 0.7076014000049327
Train loss: 1.2231197219494163 Val loss: 1.1632598338183016 Time: 0.7139647000003606
Train loss: 1.1930139607044445 Val loss: 0.8146776407957077 Time: 0.6918334999936633
Train loss: 1.082534103997904 Val loss: 0.8185987840988673 Time: 0.6744591000024229
Train loss: 1.0739181021762398 Val loss: 0.7026132960454561 Time: 0.6860515000007581
Train loss: 1.1861204747590017 Val loss: 0.9231077225122135 Time: 0.6915923000051407
Train loss: 1.133198535589515 Val loss: 0.7273057128768414 Time: 0.6999643000017386
Train loss: 1.0444818828578804 Val loss: 0.9995803043275373 Time: 0.7098987000063062
Train loss: 1.1400331069543768 Val loss: 0.6641914203391934 Time: 0.699037500002305
Train loss: 0.9940530138895625 Val loss: 0.810078780981712 Time: 0.695317999998224
Train loss: 0.9678274301808187 Val loss: 0.9827593114860633 Time: 0.6924155000015162
Train loss: 0.966682188207912 Val loss: 0.7488844827748835 Time: 0.7149988000019221
Train loss: 0.9764608422610448 Val loss: 0.7004773561347974 Time: 0.7056601000076625
Train loss: 1.020457129073212 Val loss: 0.9811407306406181 Time: 0.6989810000086436
Train loss: 0.947566225749185 Val loss: 0.8537168843322434 Time: 0.6901479000080144
Train loss: 0.934450847919507 Val loss: 0.9827148053445853 Time: 0.6948288999992656
Train loss: 1.0547391880699415 Val loss: 1.0442998803337105 Time: 0.7074458999995841
Train loss: 1.025686789943241 Val loss: 0.8353618014680251 Time: 0.7122861000098055
Train loss: 0.9433280102759056 Val loss: 0.8856849517114824 Time: 0.7507996999920579
Train loss: 0.8832290213105125 Val loss: 0.8335510739686924 Time: 0.701370599999791
Train loss: 0.9407149085194568 Val loss: 0.8125056114822655 Time: 0.7911789999925531
Train loss: 0.85910514764078 Val loss: 0.4876078202505596 Time: 0.7600065000005998
Train loss: 0.9709388341288445 Val loss: 0.6515294263426767 Time: 0.6987096999946516
Train loss: 0.7915708568909334 Val loss: 0.7669204148442077 Time: 0.7567706999980146
Train loss: 0.7592791012102665 Val loss: 0.6278431864093363 Time: 0.8341840999928536
Train loss: 0.894902845503907 Val loss: 1.0711258475494105 Time: 0.8154596000094898
Train loss: 0.9902446460560057 Val loss: 0.848000248108292 Time: 0.8149364999990212
Train loss: 0.811541579723059 Val loss: 0.5744206503150053 Time: 0.8185249999951338
Train loss: 0.838647321676592 Val loss: 0.6515846854017582 Time: 0.9359584999911021
Train loss: 0.8980401763965027 Val loss: 0.8103351015306544 Time: 0.9120379000087269
Train loss: 0.8039570553801596 Val loss: 1.0918207010254264 Time: 0.9028620000026422
Train loss: 0.8073352989934577 Val loss: 0.7014985560890636 Time: 0.8842297999945004
Train loss: 0.832143312566064 Val loss: 0.7907993685157635 Time: 0.9090326000005007
Train loss: 0.7738299710459025 Val loss: 0.8590535445637215 Time: 0.7904025000025285
Shrinking learning rate to 1e-05
Train loss: 0.8898722608794571 Val loss: 0.7516876363934983 Time: 0.806914400003734
Train loss: 0.7984305663985705 Val loss: 0.7886786549371436 Time: 0.786738199996762
Train loss: 0.7198770656578084 Val loss: 0.741082532589644 Time: 0.7420645999955013
Train loss: 0.8222711359862078 Val loss: 0.7871909328699758 Time: 0.8590492999937851
Train loss: 0.6758670380619769 Val loss: 0.7907977701203777 Time: 0.8117064000107348
Train loss: 0.802096559974359 Val loss: 0.7801365618858576 Time: 0.843596399994567
Train loss: 0.7192575850092169 Val loss: 0.7649398063840636 Time: 1.0517601000028662
Train loss: 0.7755712333135136 Val loss: 0.7986704382333683 Time: 0.9076210999919567
Train loss: 0.7157043962399934 Val loss: 0.7915842239815447 Time: 0.7800085999915609
Train loss: 0.647187265739511 Val loss: 0.7927433877193835 Time: 0.9173155000025872
Train loss: 0.6809406093982142 Val loss: 0.7845764828816755 Time: 0.9380002999969292
Train loss: 0.7227108283439483 Val loss: 0.8174810076070571 Time: 1.0269277000043076
Train loss: 0.599736683350045 Val loss: 0.8061468059374306 Time: 1.1756602000095882
Train loss: 0.6372432421979397 Val loss: 0.8143473424715033 Time: 1.0492482999979984
Train loss: 0.6976500508108217 Val loss: 0.7748741269497259 Time: 0.9834820000105537
Train loss: 0.6312352995036932 Val loss: 0.7770061958735823 Time: 0.9162281000026269
Train loss: 0.7232831493817002 Val loss: 0.7783074626318012 Time: 0.9489997000055155
Train loss: 0.7377301834348158 Val loss: 0.8096470204443449 Time: 0.9225092999986373
Train loss: 0.7502309752058522 Val loss: 0.8095979444260593 Time: 0.867835400000331
Train loss: 0.7159803444049544 Val loss: 0.817869459366193 Time: 0.8235445000027539
Train loss: 0.6495840422526697 Val loss: 0.8293444619685033 Time: 0.8015009999944596
Train loss: 0.6658922236761065 Val loss: 0.8307890327632776 Time: 0.93607019999763
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.7676991212514714 Val loss: 0.8154012206197763 Time: 1.0175214999908349
Train loss: 0.7864032240547374 Val loss: 0.8209038753068398 Time: 0.921442200007732
Train loss: 0.7448020575258179 Val loss: 0.8202449192160657 Time: 0.8912089999939781
Train loss: 0.7133749979465573 Val loss: 0.8143160951511845 Time: 1.059389599991846
Train loss: 0.6725335429921557 Val loss: 0.8109180136768472 Time: 1.0221810999937588
Train loss: 0.7184691523334887 Val loss: 0.815350964088907 Time: 1.093914199998835
Train loss: 0.7180756736714713 Val loss: 0.8193948204109347 Time: 1.0853000999923097
Train loss: 0.7022779222242246 Val loss: 0.8214269037325721 Time: 1.7078617999941343
Train loss: 0.6656122146166119 Val loss: 0.8233583251769687 Time: 0.8620998999977019
Train loss: 0.6806651388734242 Val loss: 0.823325378560412 Time: 1.1220194000052288
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 119.25649489999341
