starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_B_23-24.pth
Train loss: 1.5602537520312332 Val loss: 0.0 Time: 0.5255160999950022
Train loss: 1.5667693886011875 Val loss: 0.0 Time: 0.5451608000148553
Train loss: 1.707206289633107 Val loss: 0.0 Time: 0.519601000007242
Train loss: 1.6238847241887964 Val loss: 0.0 Time: 0.5247920000110753
Train loss: 1.6191212143355642 Val loss: 0.0 Time: 0.5220096999837551
Train loss: 1.7055817433913063 Val loss: 0.0 Time: 0.513431799976388
Train loss: 1.6454345254172864 Val loss: 0.0 Time: 0.5260854999942239
Train loss: 1.6691632156206424 Val loss: 0.0 Time: 0.5338583000120707
Train loss: 1.4980136737979421 Val loss: 0.0 Time: 0.5187774999940302
Train loss: 1.5983857731989985 Val loss: 0.0 Time: 0.5178584999812301
Train loss: 1.5696671820916208 Val loss: 0.0 Time: 0.5425529000058305
Train loss: 1.6401176423558184 Val loss: 0.0 Time: 0.5381737999850884
Train loss: 1.4610213446649567 Val loss: 0.0 Time: 0.6237878999963868
Train loss: 1.3183484476034266 Val loss: 0.0 Time: 0.6188460999983363
Train loss: 1.3979405882133449 Val loss: 0.0 Time: 0.5408675999788102
Train loss: 1.5741170893304002 Val loss: 0.0 Time: 0.5291330000036396
Train loss: 1.5990980300913444 Val loss: 0.0 Time: 0.57262069999706
Train loss: 1.5304387654514642 Val loss: 0.0 Time: 0.6135325000213925
Train loss: 1.4830794086577725 Val loss: 0.0 Time: 0.5575187999929767
Train loss: 1.5152233739818257 Val loss: 0.0 Time: 0.5922340000106487
Train loss: 1.4082777147728507 Val loss: 0.0 Time: 0.6212106000166386
Train loss: 1.5951633219413566 Val loss: 0.0 Time: 0.6807742000091821
Train loss: 1.56153060673833 Val loss: 0.0 Time: 0.6870191999769304
Shrinking learning rate to 1e-05
Train loss: 1.4490994006377207 Val loss: 0.0 Time: 0.6038708999985829
Train loss: 1.3731435104726586 Val loss: 0.0 Time: 0.5119453999795951
Train loss: 1.3465732511125594 Val loss: 0.0 Time: 0.5807086999993771
Train loss: 1.4007225830732892 Val loss: 0.0 Time: 0.5342188999929931
Train loss: 1.5080686279330786 Val loss: 0.0 Time: 0.5425566000049002
Train loss: 1.3564018885195992 Val loss: 0.0 Time: 0.5676440999959596
Train loss: 1.537395106284066 Val loss: 0.0 Time: 0.5526977999834344
Train loss: 1.3976739094466382 Val loss: 0.0 Time: 0.5845388000016101
Train loss: 1.4665856289639265 Val loss: 0.0 Time: 0.5820290999836288
Train loss: 1.389438977012503 Val loss: 0.0 Time: 0.5700658000132535
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.3555193865315545 Val loss: 0.0 Time: 0.5193759000103455
Train loss: 1.4482907226398005 Val loss: 0.0 Time: 0.5815690000017639
