starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_B_22-23.pth
Train loss: 1.4199029071186828 Val loss: 2.533416091658318 Time: 0.5449375000025611
Train loss: 1.2901367693490444 Val loss: 2.4854336965272523 Time: 0.516217800002778
Train loss: 1.2809937161040947 Val loss: 2.469938785121485 Time: 0.5738726999843493
Train loss: 1.3553179841259306 Val loss: 2.4843591315002413 Time: 0.5524955000146292
Train loss: 1.2725914334036759 Val loss: 2.4580491148917645 Time: 0.5449467999860644
Train loss: 1.2300729160591004 Val loss: 2.6160657010332216 Time: 0.5491115000040736
Train loss: 1.3510907538952779 Val loss: 2.7608184270211495 Time: 0.54605299999821
Train loss: 1.2492070752704052 Val loss: 2.4527419295017125 Time: 0.5026219999999739
Train loss: 1.2800253487768316 Val loss: 2.671475568728056 Time: 0.5579320000251755
Train loss: 1.2268491417565883 Val loss: 2.607162589963991 Time: 0.6134222999971826
Train loss: 1.2593375629219992 Val loss: 2.7124480974744074 Time: 0.5849675000063144
Train loss: 1.2533316588208656 Val loss: 2.591087701377546 Time: 0.5172299999976531
Train loss: 1.1771546577532206 Val loss: 2.5223141964825118 Time: 0.6113298000127543
Train loss: 1.1491302804492562 Val loss: 2.637199278731714 Time: 0.5186182000034023
Train loss: 1.1080226530447819 Val loss: 2.675947707830346 Time: 0.6142590999952517
Train loss: 1.1692549970699515 Val loss: 2.695538638770813 Time: 0.5190897999855224
Train loss: 1.1383432165849783 Val loss: 2.5765218466185615 Time: 0.5471785999834538
Train loss: 1.2195332091352817 Val loss: 2.711818402429344 Time: 0.5712078000069596
Train loss: 1.0951672962256045 Val loss: 2.7641127815877553 Time: 0.5591608000104316
Train loss: 1.0834248999469702 Val loss: 2.725088256673189 Time: 0.5595258000248577
Train loss: 1.103243239151869 Val loss: 2.714819627435645 Time: 0.5534531000012066
Train loss: 1.0780510389835456 Val loss: 2.861162180401152 Time: 0.549363700003596
Train loss: 1.0772407412595957 Val loss: 2.6510760786622996 Time: 0.5633426000131294
Train loss: 1.0515677856282233 Val loss: 2.5797954570407455 Time: 0.5176242000015918
Train loss: 1.0325492590233039 Val loss: 2.6721470940137806 Time: 0.6799906000087503
Train loss: 1.0704951910278284 Val loss: 2.581631157711854 Time: 0.745182200014824
Train loss: 1.0164213316583828 Val loss: 2.606272582535894 Time: 0.6256776999798603
Train loss: 1.0147369043648613 Val loss: 2.7147535863805388 Time: 0.4944975999824237
Train loss: 0.990871516036627 Val loss: 2.6215389836352188 Time: 0.5077553000010084
Train loss: 1.0510120577329012 Val loss: 2.6977229381354846 Time: 0.5032122999837156
Train loss: 0.9467824451218831 Val loss: 2.64005189260061 Time: 0.5104483999894001
Train loss: 1.006055403827613 Val loss: 2.582939451459879 Time: 0.6034947999869473
Train loss: 0.936429652005387 Val loss: 2.671724727637894 Time: 0.573949800018454
Train loss: 1.0917116724055802 Val loss: 2.648327950434023 Time: 0.8265506000025198
Train loss: 0.9561980845776086 Val loss: 2.728378207003516 Time: 0.8325681000133045
Train loss: 0.9179244071309398 Val loss: 2.6504736393981148 Time: 0.7618367999966722
Train loss: 0.9115747119079458 Val loss: 2.663769129110733 Time: 0.7191825000045355
Train loss: 0.8974433754405915 Val loss: 2.6591832827250457 Time: 0.6982310999883339
Train loss: 1.0046809082636226 Val loss: 2.8318875416171068 Time: 0.6014103000052273
Train loss: 0.9328437138769401 Val loss: 2.360996799427994 Time: 0.7294096999976318
Train loss: 0.9514288412364866 Val loss: 2.3509259783141374 Time: 0.5680425000027753
Train loss: 0.952785394612623 Val loss: 2.4129442772573384 Time: 0.6329391000035685
Train loss: 0.9974075471497397 Val loss: 2.364059793737397 Time: 0.5811461000121199
Train loss: 0.9674507710630076 Val loss: 2.820739587645221 Time: 0.5627341999788769
Train loss: 0.9469291448930541 Val loss: 2.580406947810843 Time: 0.5945061000238638
Train loss: 0.8886353788448567 Val loss: 2.637133474771076 Time: 0.6817738999961875
Train loss: 0.8567842902020324 Val loss: 2.286768132238649 Time: 0.6208181999973021
Train loss: 0.9028139384958651 Val loss: 2.620142513391329 Time: 0.6343262000009418
Train loss: 0.9391198759261452 Val loss: 2.27023841098935 Time: 0.5200815999996848
Train loss: 0.8865629600873035 Val loss: 2.3729126594857917 Time: 0.5554893999942578
Train loss: 0.9219203438005261 Val loss: 2.7300802657664462 Time: 0.5203705000167247
Train loss: 0.8675071448487852 Val loss: 2.1978871285391506 Time: 0.5329022000078112
Train loss: 0.868936361502817 Val loss: 2.15647652723419 Time: 0.5601329999917652
Train loss: 0.9207339714165963 Val loss: 2.484446503847721 Time: 0.5605765000218526
Train loss: 0.7983661897511745 Val loss: 2.397128730197437 Time: 0.590947300021071
Train loss: 0.8612013075648903 Val loss: 2.5737882736329993 Time: 0.5356581000087317
Train loss: 0.8766422575787056 Val loss: 2.239787472630269 Time: 0.5624315000022762
Train loss: 0.9457421440747442 Val loss: 2.3261587614488235 Time: 0.6026323999976739
Train loss: 0.8667715664978175 Val loss: 1.9925645355488086 Time: 0.5578339000057895
Train loss: 0.8116202752581945 Val loss: 2.245571744242625 Time: 0.5257833999930881
Train loss: 0.845813740014151 Val loss: 2.253447964507359 Time: 0.6163477000081912
Train loss: 0.8465763402313087 Val loss: 2.2412783509389556 Time: 0.5189071999920998
Train loss: 0.8233421033906438 Val loss: 2.319403647510626 Time: 0.5366413000156172
