starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_3lay_drop_22-23.pth
Train loss: 2.2772076563994443 Val loss: 0.7330687462581409 Time: 1.1418249999987893
Train loss: 1.8817229558212345 Val loss: 1.0107164469081908 Time: 1.151010400004452
Train loss: 2.0980165813098104 Val loss: 0.8819301933981478 Time: 1.1364069999981439
Train loss: 2.1743380126202236 Val loss: 0.8004624472814612 Time: 1.1372066000039922
Train loss: 2.186095920454253 Val loss: 0.8451116525102407 Time: 1.1924022999883164
Train loss: 1.9777539567515805 Val loss: 0.8997933837381424 Time: 1.1180319999984931
Train loss: 1.793671873184035 Val loss: 0.8756489487859653 Time: 1.1023205000092275
Train loss: 1.7577415458867165 Val loss: 0.7824172229811666 Time: 1.145091800004593
Train loss: 1.8394515219916894 Val loss: 0.8632238625214086 Time: 1.1316911000030814
Train loss: 1.955725928481968 Val loss: 0.8921361476655765 Time: 1.146786700002849
Train loss: 1.8937362866269256 Val loss: 0.7175853425869718 Time: 1.1377338000020245
Train loss: 1.8466066238628116 Val loss: 0.716101569671082 Time: 1.1569879000016954
Train loss: 1.8085297416297657 Val loss: 0.8652313033453538 Time: 1.1125696999952197
Train loss: 1.7865013140708514 Val loss: 0.716809019442735 Time: 1.1845649999886518
Train loss: 1.9273943952032029 Val loss: 0.6687168559901693 Time: 1.1249968000047375
Train loss: 1.7771683501080138 Val loss: 0.7291127249827696 Time: 1.1072243999951752
Train loss: 1.6377627899396585 Val loss: 0.7087795324914623 Time: 1.1469158999971114
Train loss: 1.7746560444309019 Val loss: 0.6633348130126251 Time: 1.1340274000103818
Train loss: 1.540846204213556 Val loss: 0.6673061424298794 Time: 1.1349040999921272
Train loss: 1.6174924012443872 Val loss: 0.6155036976606425 Time: 1.1085451999970246
Train loss: 1.654365062179672 Val loss: 0.8882531852234479 Time: 1.0933621000003768
Train loss: 1.775977311242137 Val loss: 0.8517605245033337 Time: 1.14296579999791
Train loss: 1.754505025531854 Val loss: 0.9448488049711159 Time: 1.1249887000012677
Train loss: 1.5691317444554196 Val loss: 0.721355618970847 Time: 1.1181742000044324
Train loss: 1.460604658978765 Val loss: 0.6923048342650873 Time: 1.1077909000014188
Train loss: 1.4535974541986632 Val loss: 0.852946701760203 Time: 1.11891900000046
Train loss: 1.5157278166624635 Val loss: 0.6366237819366916 Time: 1.1250578000035603
Train loss: 1.6428581570906782 Val loss: 0.7716411737457065 Time: 1.1356089000037173
Train loss: 1.394357309114774 Val loss: 0.626236115283973 Time: 1.1347907000017585
Train loss: 1.397299926651396 Val loss: 0.7532253565896099 Time: 1.1536900000064634
Train loss: 1.2484354984879522 Val loss: 0.8303836124285624 Time: 1.1549012000032235
Train loss: 1.273677857296756 Val loss: 0.7839692052075051 Time: 1.1235202999960165
